1,1,2,18345,18387
2,2,11,18444,18495
3,3,2,18080,18198
4,2,3,17921,18022
5,4,2,18515,18589
6,2,5,18671,18742
7,2,6,18141,18294
8,5,2,18020,18086
9,6,2,18340,18503
10,2,14,18559,18664
11,7,8,18040,18150
12,8,10,18204,18392
13,8,10,18390,18576
14,9,8,18140,18289
15,2,15,18556,18666
16,10,2,18305,18464
17,11,8,18450,18534
18,8,9,18601,18767
19,12,10,18125,18235
20,10,12,18440,18558
21,10,12,18665,18778
22,2,4,18356,18430
23,6,2,18120,18281
24,12,6,18620,18741
25,5,2,18660,18729
26,2,13,17344,17506
27,2,11,18347,18394
28,13,2,18105,18274
29,13,2,18300,18472
30,2,5,18546,18606
31,2,13,18059,18226
32,2,1,18253,18299
33,14,2,17890,18011
34,2,7,18686,18873
35,11,2,18540,18591
36,15,2,17280,17395
37,1,2,19785,19827
38,2,11,19884,19935
39,3,2,19520,19638
40,2,3,19361,19462
41,4,2,19955,20029
42,2,5,20111,20182
43,2,6,19581,19734
44,5,2,19460,19526
45,6,2,19780,19943
46,2,14,19999,20104
47,7,8,19480,19590
48,8,10,19644,19832
49,8,10,19830,20016
50,9,8,19580,19729
51,2,15,19996,20106
52,10,2,19745,19904
53,11,8,19890,19974
54,8,9,20041,20207
55,12,10,19565,19675
56,10,12,19880,19998
57,10,12,20105,20218
58,2,4,19796,19870
59,6,2,19560,19721
60,12,6,20060,20181
61,5,2,20100,20169
62,2,13,18784,18946
63,2,11,19787,19834
64,13,2,19545,19714
65,13,2,19740,19912
66,2,5,19986,20046
67,2,13,19499,19666
68,2,1,19693,19739
69,14,2,19330,19451
70,2,7,20126,20313
71,11,2,19980,20031
72,15,2,18720,18835
73,1,2,21225,21267
74,3,2,20960,21078
75,2,3,20801,20902
76,4,2,21395,21469
77,2,6,21021,21174
78,5,2,20900,20966
79,6,2,21220,21383
80,7,8,20920,21030
81,8,10,21084,21272
82,8,10,21270,21456
83,9,8,21020,21169
84,10,2,21185,21344
85,16,8,21520,21641
86,11,8,21330,21414
87,8,9,21481,21647
88,12,10,21005,21115
89,10,12,21320,21438
90,10,12,21545,21658
91,2,4,21236,21310
92,6,2,21000,21161
93,12,6,21500,21621
94,2,16,21417,21468
95,2,13,20224,20386
96,2,11,21227,21274
97,13,2,20985,21154
98,13,2,21180,21352
99,2,13,20939,21106
100,2,1,21133,21179
